[workout] 2022-07-16 22:50:45,395-0300 INFO  (main) com.example.luizmangerotte.workout.WorkoutApplication - Starting application
[workout] 2022-07-16 22:50:46,178-0300 INFO  (main) com.example.luizmangerotte.workout.WorkoutApplication - Starting WorkoutApplication using Java 18.0.1.1 on DESKTOP-QUIJU4Q with PID 9604 (C:\Users\Luiz\Desktop\Java - Udemy\workout\workout\target\classes started by Luiz in C:\Users\Luiz\Desktop\Java - Udemy\workout)
[workout] 2022-07-16 22:50:46,178-0300 INFO  (main) com.example.luizmangerotte.workout.WorkoutApplication - The following 1 profile is active: "test"
[workout] 2022-07-16 22:50:47,278-0300 INFO  (main) org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[workout] 2022-07-16 22:50:47,403-0300 INFO  (main) org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 110 ms. Found 9 JPA repository interfaces.
[workout] 2022-07-16 22:50:48,228-0300 INFO  (main) org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[workout] 2022-07-16 22:50:48,243-0300 INFO  (main) org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[workout] 2022-07-16 22:50:48,243-0300 INFO  (main) org.apache.catalina.core.StandardService - Starting service [Tomcat]
[workout] 2022-07-16 22:50:48,243-0300 INFO  (main) org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
[workout] 2022-07-16 22:50:48,400-0300 INFO  (main) org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[workout] 2022-07-16 22:50:48,400-0300 INFO  (main) org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2131 ms
[workout] 2022-07-16 22:50:48,431-0300 INFO  (main) com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[workout] 2022-07-16 22:50:48,712-0300 INFO  (main) com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[workout] 2022-07-16 22:50:48,728-0300 INFO  (main) org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
[workout] 2022-07-16 22:50:48,953-0300 INFO  (main) org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[workout] 2022-07-16 22:50:49,031-0300 INFO  (main) org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.9.Final
[workout] 2022-07-16 22:50:49,265-0300 INFO  (main) org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[workout] 2022-07-16 22:50:49,422-0300 INFO  (main) org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
[workout] 2022-07-16 22:50:50,318-0300 INFO  (main) org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[workout] 2022-07-16 22:50:50,318-0300 INFO  (main) org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
